[    2137ms] [LOG] [App] Starting initialization... @ http://localhost:3000/src/main.js?t=1787400355046:19
[    2273ms] [LOG] [LandingPage] Header.jsx loaded @ http://localhost:3000/src/components/landing/LandingPage.jsx:170
[    2641ms] [LOG] [popcorn-init] OK: jquery @ http://localhost:3000/src/lib/popcornInit.js:41
[    3779ms] [LOG] [LandingPage] CinematicVideoHero.jsx loaded @ http://localhost:3000/src/components/landing/LandingPage.jsx:183
[    4432ms] [LOG] [popcorn-init] OK: jquery-textfill @ http://localhost:3000/src/lib/popcornInit.js:48
[    5088ms] [LOG] [LandingPage] HeroSection.jsx loaded @ http://localhost:3000/src/components/landing/LandingPage.jsx:196
[    5089ms] [LOG] [LandingPage] Observer created for: scrolling placeholder id: section-scrolling @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: hook placeholder id: section-hook @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: engines placeholder id: section-engines @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: apps placeholder id: section-apps @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: features placeholder id: section-features @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: problem placeholder id: section-problem @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5089ms] [LOG] [LandingPage] Observer created for: workflow placeholder id: section-workflow @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5090ms] [LOG] [LandingPage] Observer created for: comparison placeholder id: section-comparison @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5090ms] [LOG] [LandingPage] Observer created for: value placeholder id: section-value @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5090ms] [LOG] [LandingPage] Observer created for: agency placeholder id: section-agency @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5090ms] [LOG] [LandingPage] Observer created for: offer placeholder id: section-offer @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: cta placeholder id: section-cta @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: ai-workflow placeholder id: section-ai-workflow @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: made-with placeholder id: section-made-with @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: ugc placeholder id: section-ugc @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: gallery placeholder id: section-gallery @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: academy placeholder id: section-academy @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-cinema placeholder id: section-repo-cinema @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-commercial placeholder id: section-repo-commercial @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-social-ads placeholder id: section-repo-social-ads @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-narrative placeholder id: section-repo-narrative @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-vertical placeholder id: section-repo-vertical @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-ecommerce placeholder id: section-repo-ecommerce @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-kinetic placeholder id: section-repo-kinetic @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-animated placeholder id: section-repo-animated @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-animation placeholder id: section-repo-animation @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-reference placeholder id: section-repo-reference @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-vfx placeholder id: section-repo-vfx @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5091ms] [LOG] [LandingPage] Observer created for: repo-fashion placeholder id: section-repo-fashion @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5092ms] [LOG] [LandingPage] Observer created for: repos placeholder id: section-repos @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5092ms] [LOG] [LandingPage] Observer created for: gtm-boost placeholder id: section-gtm-boost @ http://localhost:3000/src/components/landing/LandingPage.jsx:154
[    5108ms] [LOG] [App] Landing page rendered @ http://localhost:3000/src/main.js?t=1787400355046:88
[    5197ms] [LOG] [LandingPage] IntersectionObserver fired for engines [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5198ms] [LOG] [LandingPage] Loading section: engines @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5198ms] [LOG] [LandingPage] IntersectionObserver fired for repo-animation [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5198ms] [LOG] [LandingPage] Loading section: repo-animation @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5199ms] [LOG] [LandingPage] IntersectionObserver fired for repo-ecommerce [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5199ms] [LOG] [LandingPage] Loading section: repo-ecommerce @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5199ms] [LOG] [LandingPage] IntersectionObserver fired for repo-cinema [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5199ms] [LOG] [LandingPage] Loading section: repo-cinema @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5199ms] [LOG] [LandingPage] IntersectionObserver fired for repo-kinetic [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5199ms] [LOG] [LandingPage] Loading section: repo-kinetic @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5199ms] [LOG] [LandingPage] IntersectionObserver fired for features [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5199ms] [LOG] [LandingPage] Loading section: features @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5200ms] [LOG] [LandingPage] IntersectionObserver fired for comparison [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5200ms] [LOG] [LandingPage] Loading section: comparison @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5200ms] [LOG] [LandingPage] IntersectionObserver fired for value [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5200ms] [LOG] [LandingPage] Loading section: value @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5200ms] [LOG] [LandingPage] IntersectionObserver fired for repo-reference [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5200ms] [LOG] [LandingPage] Loading section: repo-reference @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5200ms] [LOG] [LandingPage] IntersectionObserver fired for gtm-boost [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5201ms] [LOG] [LandingPage] Loading section: gtm-boost @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5201ms] [LOG] [LandingPage] IntersectionObserver fired for agency [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5201ms] [LOG] [LandingPage] Loading section: agency @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5201ms] [LOG] [LandingPage] IntersectionObserver fired for cta [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5201ms] [LOG] [LandingPage] Loading section: cta @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5202ms] [LOG] [LandingPage] IntersectionObserver fired for workflow [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5202ms] [LOG] [LandingPage] Loading section: workflow @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5202ms] [LOG] [LandingPage] IntersectionObserver fired for repo-vertical [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5202ms] [LOG] [LandingPage] Loading section: repo-vertical @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5202ms] [LOG] [LandingPage] IntersectionObserver fired for repo-commercial [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5203ms] [LOG] [LandingPage] Loading section: repo-commercial @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5203ms] [LOG] [LandingPage] IntersectionObserver fired for repos [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
[    5203ms] [LOG] [LandingPage] Loading section: repos @ http://localhost:3000/src/components/landing/LandingPage.jsx:122
[    5203ms] [LOG] [LandingPage] IntersectionObserver fired for offer [Object] @ http://localhost:3000/src/components/landing/LandingPage.jsx:119
